Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
03-30-2020,1,Andhra Pradesh,23,1,0
03-30-2020,2,Andaman and Nicobar Islands,9,0,0
03-30-2020,3,Bihar,15,0,1
03-30-2020,4,Chandigarh,8,0,0
03-30-2020,5,Chhattisgarh,7,0,0
03-30-2020,6,Delhi,87,6,2
03-30-2020,7,Goa,5,0,0
03-30-2020,8,Gujarat,69,1,6
03-30-2020,9,Haryana,36,18,0
03-30-2020,10,Himachal Pradesh,3,0,1
03-30-2020,11,Jammu and Kashmir,48,2,2
03-30-2020,12,Karnataka,83,5,3
03-30-2020,13,Kerala,202,19,1
03-30-2020,14,Ladakh,13,3,0
03-30-2020,15,Madhya Pradesh,47,0,3
03-30-2020,16,Maharashtra,198,25,8
03-30-2020,17,Manipur,1,0,0
03-30-2020,18,Mizoram,1,0,0
03-30-2020,19,Odisha,3,0,0
03-30-2020,20,Puducherry,1,0,0
03-30-2020,21,Punjab,38,1,1
03-30-2020,22,Rajasthan,59,3,0
03-30-2020,23,Tamil Nadu,67,4,1
03-30-2020,24,Telengana,71,1,1
03-30-2020,25,Uttarakhand,7,2,0
03-30-2020,26,Uttar Pradesh,82,11,0
03-30-2020,27,West Bengal,22,0,2
03-31-2020,1,Andhra Pradesh,40,1,0
03-31-2020,2,Andaman and Nicobar Islands,10,0,0
03-31-2020,3,Bihar,15,0,1
03-31-2020,4,Chandigarh,13,0,0
03-31-2020,5,Chhattisgarh,8,0,0
03-31-2020,6,Delhi,97,6,2
03-31-2020,7,Goa,5,0,0
03-31-2020,8,Gujarat,73,3,6
03-31-2020,9,Haryana,40,21,0
03-31-2020,10,Himachal Pradesh,3,0,1
03-31-2020,11,Jammu and Kashmir,54,2,2
03-31-2020,12,Karnataka,83,5,3
03-31-2020,13,Kerala,234,19,1
03-31-2020,14,Ladakh,13,3,0
03-31-2020,15,Madhya Pradesh,47,0,3
03-31-2020,16,Maharashtra,216,39,9
03-31-2020,17,Manipur,1,0,0
03-31-2020,18,Mizoram,1,0,0
03-31-2020,19,Odisha,3,0,0
03-31-2020,20,Puducherry,1,0,0
03-31-2020,21,Punjab,41,1,3
03-31-2020,22,Rajasthan,74,3,0
03-31-2020,23,Tamil Nadu,74,4,1
03-31-2020,24,Telengana,79,1,1
03-31-2020,25,Uttarakhand,7,2,0
03-31-2020,26,Uttar Pradesh,101,14,0
03-31-2020,27,West Bengal,26,0,2
04-02-2020,1,Andhra Pradesh,86,1,1
04-02-2020,2,Andaman and Nicobar Islands,10,0,0
04-02-2020,3,Assam,5,0,0
04-02-2020,4,Bihar,24,0,1
04-02-2020,5,Chandigarh,16,0,0
04-02-2020,6,Chhattisgarh,9,2,0
04-02-2020,7,Delhi,219,8,4
04-02-2020,8,Goa,5,0,0
04-02-2020,9,Gujarat,87,8,7
04-02-2020,10,Haryana,43,21,0
04-02-2020,11,Himachal Pradesh,3,1,1
04-02-2020,12,Jammu and Kashmir,62,2,2
04-02-2020,13,Jharkhand,1,0,0
04-02-2020,14,Karnataka,110,9,3
04-02-2020,15,Kerala,265,25,2
04-02-2020,16,Ladakh,13,3,0
04-02-2020,17,Madhya Pradesh,99,0,6
04-02-2020,18,Maharashtra,335,42,13
04-02-2020,19,Manipur,1,0,0
04-02-2020,20,Mizoram,1,0,0
04-02-2020,21,Odisha,4,0,0
04-02-2020,22,Puducherry,3,1,0
04-02-2020,23,Punjab,46,1,4
04-02-2020,24,Rajasthan,108,3,0
04-02-2020,25,Tamil Nadu,234,6,1
04-02-2020,26,Telengana,107,1,3
04-02-2020,27,Uttarakhand,7,2,0
04-02-2020,28,Uttar Pradesh,113,14,2
04-02-2020,29,West Bengal,53,6,3
04-03-2020,1,Andhra Pradesh,132,1,1
04-03-2020,2,Andaman and Nicobar Islands,10,0,0
04-03-2020,3,Arunachal Pradesh,1,0,0
04-03-2020,4,Assam,16,0,0
04-03-2020,5,Bihar,29,0,1
04-03-2020,6,Chandigarh,18,0,0
04-03-2020,7,Chhattisgarh,9,3,0
04-03-2020,8,Delhi,219,8,4
04-03-2020,9,Goa,6,0,0
04-03-2020,10,Gujarat,95,10,8
04-03-2020,11,Haryana,49,24,0
04-03-2020,12,Himachal Pradesh,6,1,1
04-03-2020,13,Jammu and Kashmir,75,3,2
04-03-2020,14,Jharkhand,2,0,0
